Stock Code,Stock Name,Headline,Main Category,Subcategory,PDF Link,Date,News ID
533295,Punjab & Sind Bank,Press Release,General Announcement,Press Release / Media Release,https://www.bseindia.com/xml-data/corpfiling/AttachLive/45f68789-5899-4c47-826c-db183484689b.pdf,29/04/25,a500e042-c8d3-49f4-9d40-4ba480c50a75
133295,,Press Release,General Announcement,Press Release / Media Release,https://www.bseindia.com/xml-data/corpfiling/AttachLive/45f68789-5899-4c47-826c-db183484689b.pdf,29/04/25,cae4344c-3e3f-4320-948f-008f3aa2e0d5
532221,Sonata Software Ltd,<b>Format of Initial Disclosure to be made by an entity identified as a Large Corporate.</b><br/><br/> <table border=''1px''><tr> <td><b>Sr. No.</b></td> <td><b>Particulars</b></td> <td><b>Details</b></td> ....,General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/58af8f42-7090-4264-8f1d-a5217f106fbe.pdf,29/04/25,630e5dcb-b8f2-45dd-a433-f0603d23e627
531279,Trishakti Industries Ltd,"In continuation to our letter dated April 22, 2025 and pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements), Regulations 2015, we would like to inform that ....",General Announcement,Analyst / Investor Meet,https://www.bseindia.com/xml-data/corpfiling/AttachLive/453da5d5-37a0-4358-a1d5-c851d135157c.pdf,29/04/25,1f62fda9-3a0c-4ed1-b9f3-198377a613dd
533295,Punjab & Sind Bank,Dividend Update,General Announcement,Dividend Updates  0,https://www.bseindia.com/xml-data/corpfiling/AttachLive/8a8870e0-fe04-4bd6-9fa4-5b07815e4a54.pdf,29/04/25,bfe0ccb5-414a-4a2f-b4a2-790b66300807
133295,,Dividend Update,General Announcement,Dividend Updates  0,https://www.bseindia.com/xml-data/corpfiling/AttachLive/8a8870e0-fe04-4bd6-9fa4-5b07815e4a54.pdf,29/04/25,1501ec03-8b88-4498-99a7-edd9334a11be
544118,Jana Small Finance Bank Ltd,Integrated Filings of Financials as on 31-March-2025,General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/0d217650-dcf2-48ad-9d9e-3d666c0db320.pdf,29/04/25,5ee168ce-41d6-45e4-ae76-6522fa9c16b6
533295,Punjab & Sind Bank,Outcome,General Announcement,Outcome,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b32cf11d-0b85-4eff-8942-3fbe0cd2340e.pdf,29/04/25,6bd6bfc4-c74f-4daa-9e53-18c8c9cceb69
133295,,Outcome,General Announcement,Outcome,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b32cf11d-0b85-4eff-8942-3fbe0cd2340e.pdf,29/04/25,e68f2bca-d180-46b1-9cdc-bd5f99e2fa94
539195,POCL Enterprises Ltd,"POCL Enterprises Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 05/05/2025 ,inter alia, to consider and approve the Audited Financial Results ....",General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/95501b0d-f0a4-4a54-ac27-004a274f926b.pdf,29/04/25,6182ae09-fc39-4728-b067-24810da86d1a
544292,Onesource Specialty Pharma Ltd,"Schedule of intimation of investors call dated May 06,2025",General Announcement,Analyst / Investor Meet,https://www.bseindia.com/xml-data/corpfiling/AttachLive/dbb4c58f-42cf-4fd2-92d6-b265b3f2f0d6.pdf,29/04/25,9939d7e3-95e6-4c5b-9d00-d1bd348b6baf
506590,PCBL Chemical Ltd,Audio Link of PCBL Results Conference Call for Q4FY25,General Announcement,Analyst / Investor Meet,https://www.bseindia.com/xml-data/corpfiling/AttachLive/517c30fd-56da-41dc-80e1-2703ccd4e82a.pdf,29/04/25,f055beaf-8cf3-498d-8180-e197e05963e2
533295,Punjab & Sind Bank,Outcome of Board Meeting,General Announcement,Outcome Of Board Meeting,https://www.bseindia.com/xml-data/corpfiling/AttachLive/5d3324b1-abae-4812-944a-993677e6b58b.pdf,29/04/25,0b9afe97-409a-42b8-921a-326545918b76
505412,Wendt (India) Ltd,Enclosed intimation for the Investor roadshow.,General Announcement,Analyst / Investor Meet,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c67921c1-934f-4dfc-b71c-560929a90be3.pdf,29/04/25,45e5487e-4cc4-4a65-8656-5a8d358f7dc8
522205,Praj Industries Ltd,"Press Release (revised) regarding Audited Financial Results for the year ended 31st March, 2025. (typo error corrected)",General Announcement,Press Release / Media Release,https://www.bseindia.com/xml-data/corpfiling/AttachLive/9ac4837c-7056-418f-8e6b-9b76be46b294.pdf,29/04/25,4f1ea920-9cb1-4ce2-9144-c78a091c617b
544292,Onesource Specialty Pharma Ltd,"Onesource Specialty Pharma Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 05/05/2025 ,inter alia, to consider and approve Intimation of Board ....",General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4f081b51-5a2f-4311-95b2-0280c29bdbad.pdf,29/04/25,e9051ce2-8764-419c-a044-7c022af7754d
539889,Parag Milk Foods Ltd,"Schedule of Earnings Call (Group Conference Call) to discuss the financial and operational performance for Quarter and Financial Year ended March 31, 2025 with Investors & Analysts.",General Announcement,Analyst / Investor Meet,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3b452f5a-dc36-40b0-b07c-4db390521562.pdf,29/04/25,257bf512-b296-46b9-98b9-56d6ac0cacf9
500425,Ambuja Cements Ltd,"Announcement under Regulation 30 SEBI (LODR), Regulations 2015 - Commissioning of Project.",General Announcement,Updates  0,https://www.bseindia.com/xml-data/corpfiling/AttachLive/5fe02784-671e-40a1-a2df-5e2f6fe1f526.pdf,29/04/25,3983efd5-ea47-482a-a5be-fad9f3eacb2f
523676,Golkunda Diamonds & Jewellery Ltd,<b>Format of Initial Disclosure to be made by an entity identified as a Large Corporate.</b><br/><br/> <table border=''1px''><tr> <td><b>Sr. No.</b></td> <td><b>Particulars</b></td> <td><b>Details</b></td> ....,General Announcement,General,https://www.bseindia.com/xml-data/corpfiling/AttachLive/884fb3a5-44e6-4608-bbb2-865d7866a517.pdf,29/04/25,1c3f0cb6-e452-45da-8b2b-e862377f3782
